"record_id","site","state_territory","source","county_fips","counties_served","population_served","sample_id","sample_collect_date","sample_type","sample_matrix","sample_location","flow_rate","concentration_method","pasteurized","pcr_type","extraction_method","major_lab_method","inhibition_detect","inhibition_adjust","ntc_amplify","pcr_target","pcr_gene_target_agg","pcr_target_avg_conc","pcr_target_units","lod_sewage","pcr_target_detect","pcr_target_avg_conc_lin","pcr_target_flowpop_lin","pcr_target_mic_lin","hum_frac_target_mic","hum_frac_mic_conc","hum_frac_mic_unit","rec_eff_percent","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","date_updated"
"b2be2a940e8db42f60c7229004162a96",335,"ga","State_Territory","13117","Forsyth","44,000","d580ba9070c3723c44db55ae185cf7b3","2024-11-10","24-hr flow-weighted composite","raw wastewater","wwtp","4.122","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit",1,"no","no","no","rsv","rsv-a and rsv-b combined","14,112","copies/l wastewater","5,200","yes","14,112","5,004,441.95695","","","","","-1","bcov vaccine","raw sample","-1","2026 Apr 10 11:00:00 AM"
"112e732fa90b892d6fec1189dfd884f5",340,"ga","WastewaterSCAN","13121","Fulton","105,160","b4c21f8014a84e609625bcb2f3630bba","2025-05-11","24-hr time-weighted composite","post grit removal","wwtp","","none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested","","no","rsv","rsv-a and rsv-b combined","0","copies/g dry sludge","1,100","no","550","","0","pepper mild mottle virus","199,095,911.11111","copies/g dry sludge","116","bcov vaccine","dewatered solids","4","2026 Apr 10 11:00:00 AM"
"f3d9091837b5303d19d4aea0e87f9891",341,"ga","WastewaterSCAN","13121","Fulton","70,887","e63cd7011d9f01d4cb4b8b3ad767e381","2024-01-07","24-hr time-weighted composite","post grit removal","wwtp","","none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested","","no","rsv","rsv-a and rsv-b combined","8,085.60298","copies/g dry sludge","1,100","yes","8,085.60298","","0.00006","pepper mild mottle virus","139,859,824.87912","copies/g dry sludge","55.7","bcov vaccine","dewatered solids","4","2026 Apr 10 11:00:00 AM"
"095b96eff3018cf05d5fde78511dac73",340,"ga","WastewaterSCAN","13121","Fulton","105,160","fc7a2ab21335bb74639a1d6ff40ecdda","2023-06-01","24-hr time-weighted composite","post grit removal","wwtp","","none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested","","no","rsv","rsv-a and rsv-b combined","0","copies/g dry sludge","1,100","no","550","","0","pepper mild mottle virus","462,616,099.88785","copies/g dry sludge","67.8","bcov vaccine","dewatered solids","4","2026 Apr 10 11:00:00 AM"
"90cf6e742ef173b53ecd26c455ad6862",327,"ga","State_Territory","13059","Clarke","60,000","52bfcf33caf9c5bee3d54fb2a06fea75","2025-04-11","24-hr time-weighted composite","raw wastewater","wwtp","7.49","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit",1,"no","no","no","rsv","rsv-a and rsv-b combined","1,297.11427","copies/l wastewater","5,200","no","2,600","1,228,614.66","","","","","-1","bcov vaccine","raw sample","-1","2026 Apr 10 11:00:00 AM"
"1bf3b434be12121dcac52f2830aa6fbb",330,"ga","State_Territory","13067","Cobb","304,020","85a56faa9c3e016ed0e8c756efdf3bfc","2024-08-12","grab","raw wastewater","wwtp","26.13","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit",1,"no","no","no","rsv","rsv-a and rsv-b combined","2,592","copies/l wastewater","5,200","no","2,600","845,906.53641","","","","","-1","bcov vaccine","raw sample","-1","2026 Apr 10 11:00:00 AM"
"9812cc350efdf6c599acacb9517756bd",326,"ga","WastewaterSCAN","13121","Fulton","12,818","da3f070db73faf54cf465ef874cd2bc1","2023-08-22","24-hr time-weighted composite","post grit removal","wwtp","","none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested","","no","rsv","rsv-a and rsv-b combined","0","copies/g dry sludge","1,100","no","550","","0","pepper mild mottle virus","255,481,432.86022","copies/g dry sludge","110","bcov vaccine","dewatered solids","4","2026 Apr 10 11:00:00 AM"
"8bbac40f39b500829be26c1ff2fd5dc5",335,"ga","State_Territory","13117","Forsyth","44,000","de1499d8574a41b623b9cfa22ad181e0","2025-01-06","24-hr flow-weighted composite","raw wastewater","wwtp","4.301","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit",1,"no","no","no","rsv","rsv-a and rsv-b combined","2,568","copies/l wastewater","5,200","no","2,600","962,059.41","","","","","-1","bcov vaccine","raw sample","-1","2026 Apr 10 11:00:00 AM"
"7eadebc95d119b73141316348b0121f3",338,"ga","WastewaterSCAN","13121","Fulton","73,821","2dfb88b89888c816a7b5eb48c56d3ab5","2025-11-26","24-hr time-weighted composite","post grit removal","wwtp","","none","no","ddpcr","chemagic viral dna/rna 300 kit",1,"not tested","","no","rsv","rsv-a and rsv-b combined","0","copies/g dry sludge","1,100","no","550","","0","pepper mild mottle virus","277,304,605.33333","copies/g dry sludge","96.5","bcov vaccine","dewatered solids","4","2026 Apr 10 11:00:00 AM"
"68489c9514be2350564a1dbdb824b2fc",342,"ga","State_Territory","13135","Gwinnett","496,000","a4a40385cdc2c36a54a208324e78b7db","2023-10-01","24-hr flow-weighted composite","raw wastewater","wwtp","37","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit",1,"no","no","no","rsv","rsv-a and rsv-b combined","2,544","copies/l wastewater","5,200","no","2,600","734,184.43548","","","","","-1","bcov vaccine","raw sample","-1","2026 Apr 10 11:00:00 AM"
